Topic,comp_role,Year,weight,word_category
1,fi_306+sponsor,2006,0.2016,3
1,fi_306+sponsor,2007,0.2029,3
1,fi_306+sponsor,2008,0.2037,3
2,fi_147+depositor,2002,0.2245,3
2,fi_147+depositor,2003,0.2216,3
2,fi_147+depositor,2004,0.2153,3
2,fi_147+seller,2005,0.2047,3
2,fi_147+seller,2006,0.1924,3
2,fi_147+seller,2007,0.1872,3
2,fi_147+seller,2008,0.1877,3
3,fi_306+servicer,2002,0.1163,3
3,fi_306+servicer,2003,0.1161,3
3,fi_306+servicer,2004,0.1158,3
3,fi_306+servicer,2005,0.1152,3
3,fi_306+servicer,2006,0.1141,3
3,fi_127+sponsor,2007,0.1135,3
3,fi_127+sponsor,2008,0.1135,3
4,fi_262+depositor,2002,0.3018,3
4,fi_262+depositor,2003,0.2937,3
4,fi_262+depositor,2004,0.2684,3
4,fi_262+depositor,2005,0.2248,3
4,fi_157+sponsor,2006,0.1842,3
4,fi_157+sponsor,2007,0.1634,3
4,fi_157+sponsor,2008,0.1551,3
5,fi_209+seller,2002,0.1815,3
5,fi_209+seller,2003,0.1777,3
5,fi_209+seller,2004,0.1721,3
5,fi_209+seller,2005,0.1585,3
5,fi_209+seller,2006,0.1397,3
5,fi_209+seller,2007,0.1334,3
5,fi_209+seller,2008,0.134,3
6,fi_101+custodian,2002,0.1139,3
6,fi_101+custodian,2003,0.1121,3
6,fi_101+custodian,2004,0.1089,3
6,fi_18+issuer,2005,0.1011,3
6,fi_18+issuer,2006,0.0957,3
6,fi_18+issuer,2007,0.0939,3
6,fi_18+issuer,2008,0.0938,3
7,fi_72+depositor,2002,0.2155,3
7,fi_72+depositor,2003,0.2189,3
7,fi_71+depositor,2004,0.2223,3
7,fi_71+seller,2005,0.2237,3
7,fi_71+seller,2006,0.2254,3
7,fi_71+depositor,2007,0.2253,3
7,fi_71+depositor,2008,0.2242,3
8,fi_34+issuer,2002,0.2513,3
8,fi_34+issuer,2003,0.2233,3
8,fi_34+issuer,2004,0.1974,3
8,fi_34+issuer,2005,0.1777,3
8,fi_34+issuer,2006,0.1614,3
8,fi_34+issuer,2007,0.1514,3
8,fi_34+issuer,2008,0.149,3
9,fi_249+depositor,2002,0.078,3
9,fi_249+depositor,2003,0.0756,3
